"","Subject","counts"
"1","AANB",1
"2","ACAM",6
"3","ADHE",5
"4","AFST",6
"5","ANAT",2
"6","ANTH",37
"7","APBI",42
"8","APPP",5
"9","APSC",22
"10","ARBC",5
"11","ARCH",26
"12","ARCL",9
"13","ARST",21
"14","ARTH",30
"15","ARTS",1
"16","ASIA",85
"17","ASIC",1
"18","ASL",2
"19","ASTR",17
"20","ASTU",6
"21","ATSC",4
"22","AUDI",42
"23","BA",13
"24","BAAC",4
"25","BABS",5
"26","BAEN",10
"27","BAFI",10
"28","BAHR",4
"29","BAIT",9
"30","BALA",1
"31","BAMA",13
"32","BAMS",5
"33","BAPA",2
"34","BASC",5
"35","BASM",8
"36","BAUL",2
"37","BEST",10
"38","BIOC",24
"39","BIOF",3
"40","BIOL",95
"41","BMEG",45
"42","BOTA",3
"43","BUSI",38
"44","CAPS",12
"45","CCFI",1
"46","CCST",1
"47","CDST",2
"48","CEEN",4
"49","CELL",5
"50","CENS",6
"51","CHBE",57
"52","CHEM",74
"53","CHIN",36
"54","CIVL",82
"55","CLST",23
"56","CNPS",18
"57","CNRS",4
"58","CNTO",6
"59","COEC",11
"60","COGS",5
"61","COHR",5
"62","COLX",6
"63","COMM",111
"64","COMR",10
"65","CONS",20
"66","CPEN",29
"67","CPSC",73
"68","CRWR",63
"69","CSIS",2
"70","DANI",2
"71","DENT",2
"72","DES",19
"73","DHYG",5
"74","DSCI",25
"75","ECED",18
"76","ECON",84
"77","ECPS",1
"78","EDCP",38
"79","EDST",27
"80","EDUC",4
"81","EECE",24
"82","ELEC",62
"83","ENGL",98
"84","ENPH",5
"85","ENVE",5
"86","ENVR",6
"87","EOSC",68
"88","EPSE",52
"89","ETEC",22
"90","FCOR",5
"91","FIPR",19
"92","FISH",4
"93","FIST",18
"94","FMST",5
"95","FNEL",9
"96","FNH",40
"97","FNIS",12
"98","FOOD",12
"99","FOPE",2
"100","FOPR",4
"101","FRE",25
"102","FREN",29
"103","FRST",65
"104","GBPR",1
"105","GEM",7
"106","GEOB",2
"107","GEOG",37
"108","GEOS",20
"109","GERM",18
"110","GREK",4
"111","GRS",1
"112","GRSJ",30
"113","GSAT",2
"114","HEBR",2
"115","HGSE",4
"116","HINU",2
"117","HIST",101
"118","HPB",4
"119","IGEN",6
"120","INDS",1
"121","INFO",6
"122","INLB",2
"123","ISCI",11
"124","ITAL",8
"125","ITST",7
"126","IWME",3
"127","JAPN",20
"128","JRNL",16
"129","KIN",64
"130","KORN",9
"131","LAIS",1
"132","LARC",21
"133","LASO",1
"134","LAST",2
"135","LATN",7
"136","LAW",117
"137","LFS",10
"138","LIBE",5
"139","LIBR",30
"140","LING",41
"141","LLED",30
"142","LWS",5
"143","MANU",13
"144","MATH",94
"145","MDVL",3
"146","MECH",85
"147","MEDG",12
"148","MEDI",4
"149","MES",1
"150","MICB",31
"151","MIDW",18
"152","MINE",37
"153","MRNE",5
"154","MTRL",39
"155","MUSC",126
"156","NAME",7
"157","NEST",7
"158","NRSC",1
"159","NURS",43
"160","OBST",3
"161","ONCO",1
"162","OSOT",5
"163","PATH",21
"164","PCTH",10
"165","PERS",5
"166","PHAR",9
"167","PHIL",64
"168","PHRM",32
"169","PHTH",14
"170","PHYS",61
"171","PLAN",31
"172","POLI",87
"173","POLS",1
"174","PORT",5
"175","PPGA",30
"176","PSYC",81
"177","PUNJ",3
"178","RELG",8
"179","RES",9
"180","RGST",2
"181","RHSC",15
"182","RMST",4
"183","RUSS",11
"184","SANS",1
"185","SCAN",5
"186","SCIE",3
"187","SLAV",1
"188","SOCI",55
"189","SOIL",5
"190","SOWK",32
"191","SPAN",23
"192","SPHA",15
"193","SPPH",54
"194","STAT",30
"195","SURG",8
"196","SWED",4
"197","THFL",1
"198","THTR",58
"199","TIBT",1
"200","UDES",6
"201","UFOR",18
"202","URST",2
"203","URSY",4
"204","VANT",4
"205","VISA",37
"206","WOOD",28
"207","WRDS",5
"208","ZOOL",1
